"filename", "language", "HTML", "CSS", "JavaScript", "Python", "JSON", "XML", "comment", "blank", "total"
"e:\Materials\【FDD】\assignment\WebSite\test\googleForm.html", "HTML", 14, 0, 0, 0, 0, 0, 0, 3, 17
"e:\Materials\【FDD】\assignment\WebSite\test\indexDB\idb-keyval-iife.js", "JavaScript", 0, 0, 63, 0, 0, 0, 0, 4, 67
"e:\Materials\【FDD】\assignment\WebSite\test\indexDB\indexDB.html", "HTML", 75, 0, 0, 0, 0, 0, 0, 16, 91
"e:\Materials\【FDD】\assignment\WebSite\test\index_style\scrpt.py", "Python", 0, 0, 0, 7, 0, 0, 16, 7, 30
"e:\Materials\【FDD】\assignment\WebSite\test\index_style\style.css", "CSS", 0, 534, 0, 0, 0, 0, 0, 109, 643
"e:\Materials\【FDD】\assignment\WebSite\test\index_style\test.json", "JSON", 0, 0, 0, 0, 41, 0, 0, 0, 41
"e:\Materials\【FDD】\assignment\WebSite\test\onresize.html", "HTML", 6, 0, 0, 0, 0, 0, 0, 0, 6
"e:\Materials\【FDD】\assignment\WebSite\test\reverse.js", "JavaScript", 0, 0, 22, 0, 0, 0, 8, 9, 39
"e:\Materials\【FDD】\assignment\WebSite\test\share.html", "HTML", 27, 0, 0, 0, 0, 0, 0, 8, 35
"e:\Materials\【FDD】\assignment\WebSite\test\style.css", "CSS", 0, 534, 0, 0, 0, 0, 1, 109, 644
"e:\Materials\【FDD】\assignment\WebSite\test\templete.html", "HTML", 21, 0, 0, 0, 0, 0, 0, 5, 26
"e:\Materials\【FDD】\assignment\WebSite\test\testBootstrop.html", "HTML", 15, 0, 0, 0, 0, 0, 11, 4, 30
"e:\Materials\【FDD】\assignment\WebSite\test\underline.html", "HTML", 31, 0, 0, 0, 0, 0, 1, 6, 38
"e:\Materials\【FDD】\assignment\WebSite\test\writer.js", "JavaScript", 0, 0, 259, 0, 0, 0, 23, 37, 319
"e:\Materials\【FDD】\assignment\WebSite\test\writerTest.html", "HTML", 46, 0, 0, 0, 0, 0, 0, 5, 51
"e:\Materials\【FDD】\assignment\WebSite\writer.html", "HTML", 46, 0, 0, 0, 0, 0, 1, 5, 52
"Total", "-", 3411, 2977, 2282, 7, 9157, 15, 244, 1370, 19463
